func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg_w10_c000,mssp4-n180-d20-02,3616.5043512566012,1359.8001000000004,1638.129738238938,0.2046842313358688,0.018644212,3616.4857070446014,3591.635216294001,3591.4630436690013,275,264,3114,502,3703,176,448,274.0,448,274
cg_w10_c000,mssp4-n180-d20-03,2673.9575966032035,1091.7001000000002,1091.7001000000002,0.0,0.059102598,2673.8984940052032,2639.839642408999,2639.6997327289987,226,220,5317,505,3687,179,410,239.0,410,239
cg_w10_c000,mssp4-n180-d20-04,4050.2292775360543,888.2251249999998,1879.14274355311,1.1156153892326681,0.076355621,4050.1529219150543,4025.814879286998,4025.571169483998,300,292,2892,504,3666,178,480,310.0,480,310
cg_w10_c000,mssp4-n180-d20-05,3943.1675074571453,1279.5001,1496.7889072940309,0.1698232046203286,0.020859527,3943.1466479301453,3907.2240195000013,3907.041518183,253,243,5758,505,3488,179,432,317.0,432,317
cg_w10_c000,mssp4-n180-d30-01,2006.2591938882981,1101.5168083333353,1101.5168083333353,0.0,0.080986014,2006.178207874298,1978.4644253409997,1978.3402135819997,254,240,3411,495,5299,169,417,250.0,417,250
cg_w10_c000,mssp4-n180-d30-02,1872.16211475035,1052.3001000000002,1052.3001000000002,0.0,0.029528748,1872.1325860023499,1848.2640155980002,1848.142775262,224,216,2600,498,5289,172,398,259.0,398,259
cg_w10_c000,mssp4-n180-d30-03,3256.47160999398,920.9001000000001,920.9702960784316,7.622550853402673e-5,0.092082902,3256.37952709198,3215.1299905059996,3215.0030038049995,238,225,6737,501,5248,175,409,239.0,409,239
cg_w10_c000,mssp4-n180-d30-04,1836.3317252713398,934.0001000000036,934.0001000000036,0.0,0.130469473,1836.2012557983398,1798.9661416899992,1798.8380209499999,242,231,5478,498,5214,172,412,276.0,412,276
cg_w10_c000,mssp4-n180-d30-05,3284.1242097179297,1021.900200000001,1021.900200000001,0.0,0.02980359,3284.0944061279297,3250.438451620997,3250.2352910389995,364,348,4900,509,5152,183,542,395.0,542,395
cg_w15_c000,mssp4-n180-d10-01,3616.2059217750525,2243.2032060606043,2590.668879236378,0.15489710082305677,0.081195718,3616.1247260570526,3607.510332454,3607.3039625260003,227,219,1752,605,2055,279,513,245.0,513,245
cg_w15_c000,mssp4-n180-d10-02,4565.716605811506,2292.4099292682945,3031.6982792044187,0.32249395734038494,0.023193746,4565.693412065506,4562.197977979999,4561.995181745999,243,239,543,605,2144,279,531,254.0,531,254
cg_w15_c000,mssp4-n180-d10-03,2495.991600623073,2169.4545779411774,2169.4545779411774,0.0,0.088416686,2495.9031839370728,2484.2814452260004,2484.1599280199994,134,129,2118,606,2155,280,429,176.0,429,176
cg_w15_c000,mssp4-n180-d10-04,3798.2323258197066,1798.4204305446174,3807.6861725710896,1.117239166048622,0.077244786,3798.1550810337067,3796.6639683560006,3796.4958680649993,184,180,108,607,2089,281,476,211.0,476,211
cg_w15_c000,mssp4-n180-d10-05,4122.149421948303,2129.419805357141,3111.9839028169013,0.4614233863082565,0.033329028,4122.116092920303,4120.197192543999,4119.970157646002,288,277,198,606,2083,280,572,322.0,572,322
cg_w15_c000,mssp4-n180-d15-01,4517.519912514505,1305.0601800000027,1962.777748779527,0.5039748962224279,0.074973378,4517.444939136505,4495.262729770998,4494.841091149002,394,387,2894,602,2823,276,677,448.0,677,448
cg_w15_c000,mssp4-n180-d15-02,3187.6053225612427,1587.7001000000014,1587.7001000000014,0.0,0.038792572,3187.5665299892426,3163.324460121998,3163.065058663997,272,263,3370,604,2950,278,559,301.0,559,301
cg_w15_c000,mssp4-n180-d15-03,2522.3251316342826,1597.4000999999998,1597.4000999999998,0.0,0.034797648,2522.2903339862823,2502.8284883450006,2502.489100199001,363,353,2475,599,2929,273,642,428.0,642,428
cg_w15_c000,mssp4-n180-d15-04,1843.074430315504,1489.0001000000002,1489.0001000000002,0.0,0.053527205,1843.0209031105042,1827.7914614340002,1827.6688197269998,99,94,2120,603,2945,277,385,122.0,385,122
cg_w15_c000,mssp4-n180-d15-05,1946.2255327249334,1644.7001,1644.7001,0.0,0.096873715,1946.1286590099335,1932.8680941600005,1932.7500701439992,130,122,2059,606,2926,280,417,150.0,417,150
cg_w15_c000,mssp4-n180-d20-01,3604.9383739808327,765.4001000000001,1413.5189657831152,0.8467713366945144,0.070926843,3604.8674471378326,3565.0951315570037,3564.8822538560003,272,264,7267,592,3661,266,545,307.0,545,307
cg_w15_c000,mssp4-n180-d20-02,2541.304800342591,1531.4001000000003,1531.4001000000003,0.0,0.097425293,2541.207375049591,2524.2263532169995,2524.0441620620004,203,195,2177,583,3789,257,466,221.0,466,221
cg_w15_c000,mssp4-n180-d20-03,3581.4948783627083,1091.7001000000007,1091.7001000000007,0.0,0.092851471,3581.4020268917084,3540.600218787003,3540.382478032,300,289,6941,589,3776,263,567,326.0,567,326
cg_w15_c000,mssp4-n180-d20-04,3868.693288566722,993.9334999999995,1746.4267900728257,0.7570861532213439,0.030538561,3868.662750005722,3838.2861155869987,3838.0802490269994,257,246,3913,588,3755,262,523,291.0,523,290
cg_w15_c000,mssp4-n180-d20-05,2920.6771243863745,1423.8001000000002,1423.8001000000002,0.0,0.057573443,2920.6195509433746,2898.5620234009994,2898.3784194600007,218,209,2581,589,3577,263,488,335.0,488,335
cg_w15_c000,mssp4-n180-d30-01,1914.0047200875877,1101.5168083333333,1101.5168083333333,0.0,0.090283032,1913.9144370555878,1884.0850449480006,1883.7192642610007,269,256,4113,576,5385,250,521,288.0,521,288
