func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg2_l20_w00_c200,mssp3-n120-d15-03,253.1051858791316,1375.2834833333338,1375.2834833333336,0.0,0.031761063,253.0734248161316,251.36789070599997,251.13101190800018,391,373,539,420,1254,202,580,443.0,580,443
cg2_l20_w00_c200,mssp3-n120-d15-04,73.87064204276746,1607.3386634615383,1607.3386634615385,0.0,0.007794953,73.86284708976746,72.98281518799995,72.894983373,153,141,191,420,1210,202,347,179.0,346,177
cg2_l20_w00_c200,mssp3-n120-d15-05,221.358776711312,1668.600154545457,1668.600154545457,0.0,0.008172654,221.350604057312,220.11164496599997,219.872253307,290,274,368,420,1243,202,478,371.0,478,371
cg2_l20_w00_c200,mssp3-n120-d20-01,67.90840070837965,1357.2001,1357.2001,0.0,0.075137788,67.83326292037964,67.14477336499999,67.09363818400001,96,89,149,420,1525,202,291,123.0,290,115
cg2_l20_w00_c200,mssp3-n120-d20-02,80.73317650422045,1168.5001000000002,1168.5001000000002,0.0,0.027551447,80.70562505722046,79.98433099700001,79.91403679400001,146,137,115,420,1564,202,342,217.0,342,217
cg2_l20_w00_c200,mssp3-n120-d20-03,47.83022782269861,999.0000999999995,999.0000999999996,0.0,0.131451816,47.69877600669861,46.71324040799999,46.679064718,61,54,171,420,1598,202,256,61.0,256,61
cg2_l20_w00_c200,mssp3-n120-d20-04,122.2659498504502,1263.2335166666662,1263.2335166666662,0.0,0.019716864,122.2462329864502,120.35146644200006,120.26418021499994,171,157,691,420,1541,202,361,270.0,361,270
cg2_l20_w00_c200,mssp3-n120-d20-05,49.46673334899829,1267.3876374999993,1267.3876374999993,0.0,0.030085457,49.43664789199829,48.588403839,48.46799465,76,68,182,420,1535,202,269,69.0,268,68
cg2_l20_w00_c200,mssp3-n120-d30-01,59.72529528753723,965.9002000000003,965.9002000000003,0.0,0.101402265,59.62389302253723,58.498283529000005,58.447936094,96,85,298,420,2285,202,290,133.0,290,133
cg2_l20_w00_c200,mssp3-n120-d30-02,69.31791972495678,926.0001375000015,926.0001375000015,0.0,0.010224813,69.30769491195679,68.11409265299997,68.05767904300001,104,94,359,420,2258,202,294,94.0,294,94
